Country Name,Country Code,Year,Value
Arab World,ARB,1968,25760683041.0857
Arab World,ARB,1969,28434203615.4829
Arab World,ARB,1970,31385499664.0672
Arab World,ARB,1971,36426909888.3928
Arab World,ARB,1972,43316056615.4562
Arab World,ARB,1973,55018394945.5825
Arab World,ARB,1974,105145803084.377
Arab World,ARB,1975,116337021938.341
Arab World,ARB,1976,144846175400.488
Arab World,ARB,1977,167308327683.593
Arab World,ARB,1978,183555544342.189
Arab World,ARB,1979,248646206367.003
Arab World,ARB,1980,338177454717.54
Arab World,ARB,1981,348592795413.116
Arab World,ARB,1982,324328753765.3
Arab World,ARB,1983,303962539723.08
Arab World,ARB,1984,307940771858.542
Arab World,ARB,1985,303893618415.542
Arab World,ARB,1986,289029150639.442
Arab World,ARB,1987,312681678329.933
Arab World,ARB,1988,307503035642.516
Arab World,ARB,1989,322325140494.725
Arab World,ARB,1990,446877161735.16
Arab World,ARB,1991,439779177865.334
Arab World,ARB,1992,471163515479.771
Arab World,ARB,1993,476513630620.727
Arab World,ARB,1994,487526906267.398
Arab World,ARB,1995,523759898278.581
Arab World,ARB,1996,578231297757.414
Arab World,ARB,1997,613279452463.065
Arab World,ARB,1998,591525594008.239
Arab World,ARB,1999,643889670873.196
Arab World,ARB,2000,735025140326.516
Arab World,ARB,2001,723282816391.284
Arab World,ARB,2002,729051715403.445
Arab World,ARB,2003,823110541440.464
Arab World,ARB,2004,963862340520.581
Arab World,ARB,2005,1184661549595.13
Arab World,ARB,2006,1404113530800.68
Arab World,ARB,2007,1637573196970.62
Arab World,ARB,2008,2078115659876.48
Arab World,ARB,2009,1795819607113.11
Arab World,ARB,2010,2109645821948.41
Arab World,ARB,2011,2501553648412.73
Arab World,ARB,2012,2741238538444.31
Arab World,ARB,2013,2839626635836.57
Arab World,ARB,2014,2906616435186.9
Arab World,ARB,2015,2563301730344.96
Arab World,ARB,2016,2504702625568.63
Caribbean small states,CSS,1960,2004785088.23708
Caribbean small states,CSS,1961,2169733054.3289
Caribbean small states,CSS,1962,2289494617.50319
Caribbean small states,CSS,1963,2431591781.47075
Caribbean small states,CSS,1964,2626895911.88936
Caribbean small states,CSS,1965,2828615453.30014
Caribbean small states,CSS,1966,3067843648.65076
Caribbean small states,CSS,1967,3293145006.66893
Caribbean small states,CSS,1968,3274645643.10132
Caribbean small states,CSS,1969,3563687634.72661
Caribbean small states,CSS,1970,3920853183.53033
Caribbean small states,CSS,1971,4262673219.74986
