Country Name,Country Code,Year,Value
Chile,CHL,1970,9126309734.51328
Chile,CHL,1971,10884114754.0984
Chile,CHL,1972,11853817307.6923
Chile,CHL,1973,16836261173.1844
Chile,CHL,1974,16210404183.5358
Chile,CHL,1975,7622217352.34216
Chile,CHL,1976,10341925249.0421
Chile,CHL,1977,13962893421.5413
Chile,CHL,1978,15989933708.1491
Chile,CHL,1979,21803696985.2349
Chile,CHL,1980,29036709871.7949
Chile,CHL,1981,34509878043.5897
Chile,CHL,1982,25325893205.657
Chile,CHL,1983,20355959237.2128
Chile,CHL,1984,19622527479.6913
Chile,CHL,1985,17702885393.5099
Chile,CHL,1986,18891048818.7426
Chile,CHL,1987,22255407684.6999
Chile,CHL,1988,26040229793.0697
Chile,CHL,1989,29885685142.9107
Chile,CHL,1990,33113887817.9731
Chile,CHL,1991,37834793730.3133
Chile,CHL,1992,45964327558.8836
Chile,CHL,1993,49297773130.1185
Chile,CHL,1994,57008425295.8256
Chile,CHL,1995,73447063319.3034
Chile,CHL,1996,78039572221.6024
Chile,CHL,1997,84952360922.4679
Chile,CHL,1998,81577430181.4074
Chile,CHL,1999,75173794497.0321
Chile,CHL,2000,77860932151.8471
Chile,CHL,2001,70979923960.3742
Chile,CHL,2002,69736811435.1032
Chile,CHL,2003,75643459839.6008
Chile,CHL,2004,99210392857.6116
Chile,CHL,2005,122964812046.073
Chile,CHL,2006,154788024805.808
Chile,CHL,2007,173605968179.255
Chile,CHL,2008,179638496278.574
Chile,CHL,2009,172389498444.621
Chile,CHL,2010,218537551220.071
Chile,CHL,2011,252251992029.442
Chile,CHL,2012,267122320056.702
Chile,CHL,2013,278384332694.313
Chile,CHL,2014,260990299051.116
Chile,CHL,2015,242517905161.664
Chile,CHL,2016,247027912574.35
China,CHN,1960,59716467625.3148
China,CHN,1961,50056868957.6732
China,CHN,1962,47209359005.6056
China,CHN,1963,50706799902.5103
China,CHN,1964,59708343488.5043
China,CHN,1965,70436266146.7219
China,CHN,1966,76720285969.6157
China,CHN,1967,72881631326.6715
China,CHN,1968,70846535055.6503
China,CHN,1969,79705906247.4612
China,CHN,1970,92602973434.0726
China,CHN,1971,99800958648.1436
China,CHN,1972,113687586299.051
China,CHN,1973,138544284708.957
China,CHN,1974,144182133387.722
China,CHN,1975,163431551779.761
China,CHN,1976,153940455341.506
China,CHN,1977,174938098826.569
China,CHN,1978,149540752829.268
China,CHN,1979,178280594413.043
China,CHN,1980,191149211575
China,CHN,1981,195866382432.54
China,CHN,1982,205089699858.779
China,CHN,1983,230686747153.257
China,CHN,1984,259946510957.143
China,CHN,1985,309488028132.653
China,CHN,1986,300758100107.246
China,CHN,1987,272972974764.574
China,CHN,1988,312353631207.819
China,CHN,1989,347768051311.741
China,CHN,1990,360857912565.966
China,CHN,1991,383373318083.624
China,CHN,1992,426915712711.146
China,CHN,1993,444731282436.762
China,CHN,1994,564324670005.917
China,CHN,1995,734547898220.508
China,CHN,1996,863746717503.789
China,CHN,1997,961603952951.82
China,CHN,1998,1029043097554.08
China,CHN,1999,1093997267271.06
China,CHN,2000,1211346869605.24
China,CHN,2001,1339395718865.3
China,CHN,2002,1470550015081.55
China,CHN,2003,1660287965662.68
China,CHN,2004,1955347004963.27
China,CHN,2005,2285965892360.54
China,CHN,2006,2752131773355.16
China,CHN,2007,3552182311652.97
China,CHN,2008,4598206091384
China,CHN,2009,5109953609257.25
China,CHN,2010,6100620488867.55
China,CHN,2011,7572553836875.34
China,CHN,2012,8560547314679.28
China,CHN,2013,9607224481532.65
China,CHN,2014,10482372109961.9
China,CHN,2015,11064666282625.5
China,CHN,2016,11199145157649.2
Colombia,COL,1960,4040948153.73022
