Country Name,Country Code,Year,Value
Hungary,HUN,1999,49170434390.9949
Hungary,HUN,2000,47310623887.2319
Hungary,HUN,2001,53821315066.1024
Hungary,HUN,2002,67716887203.4136
Hungary,HUN,2003,85324771841.4118
Hungary,HUN,2004,104066609517.928
Hungary,HUN,2005,113035361316.749
Hungary,HUN,2006,115295199391.606
Hungary,HUN,2007,139850794387.281
Hungary,HUN,2008,157998423131.739
Hungary,HUN,2009,130593960612.172
Hungary,HUN,2010,130922638689.071
Hungary,HUN,2011,140782064609.187
Hungary,HUN,2012,127856647107.82
Hungary,HUN,2013,135215704418.963
Hungary,HUN,2014,140118140454.711
Hungary,HUN,2015,122879042001.915
Hungary,HUN,2016,125816640420.569
Iceland,ISL,1960,248434096.968726
Iceland,ISL,1961,253885656.329253
Iceland,ISL,1962,284916516.159537
Iceland,ISL,1963,340061650.119898
Iceland,ISL,1964,434267936.914583
Iceland,ISL,1965,523694949.370689
Iceland,ISL,1966,628893310.399926
Iceland,ISL,1967,621225962.154708
Iceland,ISL,1968,474399471.622359
Iceland,ISL,1969,414709311.35296
Iceland,ISL,1970,531004659.090909
Iceland,ISL,1971,675722954.545455
Iceland,ISL,1972,846506911.398142
Iceland,ISL,1973,1163864529.01365
Iceland,ISL,1974,1527559579.78989
Iceland,ISL,1975,1418360312.29668
Iceland,ISL,1976,1683117417.79656
Iceland,ISL,1977,2226538693.61895
Iceland,ISL,1978,2532331673.49047
Iceland,ISL,1979,2876729410.09643
Iceland,ISL,1980,3409023699.34967
Iceland,ISL,1981,3521512388.91504
Iceland,ISL,1982,3232804218.11116
Iceland,ISL,1983,2788530415.2511
Iceland,ISL,1984,2887825523.68452
Iceland,ISL,1985,3008412959.52317
Iceland,ISL,1986,4022192403.69597
Iceland,ISL,1987,5565384032.45323
Iceland,ISL,1988,6156487920.21202
Iceland,ISL,1989,5718878001.74609
Iceland,ISL,1990,6521544489.20626
Iceland,ISL,1991,6966138525.63635
Iceland,ISL,1992,7138787995.32199
Iceland,ISL,1993,6269347502.78093
Iceland,ISL,1994,6441621297.77366
Iceland,ISL,1995,7181787873.86945
Iceland,ISL,1996,7501950115.78947
Iceland,ISL,1997,7596126045.95208
Iceland,ISL,1998,8468339855.94356
Iceland,ISL,1999,8931365460.57043
Iceland,ISL,2000,8946079678.43696
Iceland,ISL,2001,8146073989.52626
Iceland,ISL,2002,9199643907.97902
Iceland,ISL,2003,11304084266.5137
Iceland,ISL,2004,13703315349.2507
Iceland,ISL,2005,16691213479.471
Iceland,ISL,2006,17043245939.014
Iceland,ISL,2007,21295012098.9774
Iceland,ISL,2008,17640375722.4448
Iceland,ISL,2009,12887072301.1621
Iceland,ISL,2010,13254818331.1893
Iceland,ISL,2011,14674650434.6757
Iceland,ISL,2012,14218575093.024
Iceland,ISL,2013,15479256844.8708
Iceland,ISL,2014,17178962757.4324
Iceland,ISL,2015,16783714958.4498
Iceland,ISL,2016,20047413006.3471
India,IND,1960,36535925029.925
India,IND,1961,38709096075.0961
India,IND,1962,41599070245.0702
India,IND,1963,47776000903.0009
India,IND,1964,55726873075.8731
India,IND,1965,58760424674.5065
India,IND,1966,45253641300
India,IND,1967,49466168893.3333
India,IND,1968,52377324280
India,IND,1969,57668330026.6667
India,IND,1970,61589800520
India,IND,1971,66452561868.4154
India,IND,1972,70509913046.8528
India,IND,1973,84374541625.3338
India,IND,1974,98198276856.9136
India,IND,1975,97159222028.3357
India,IND,1976,101346972433.237
India,IND,1977,119866746569.343
India,IND,1978,135468782810.558
India,IND,1979,150950826964.984
India,IND,1980,183839864648.794
India,IND,1981,190909548793.872
India,IND,1982,198037712680.328
India,IND,1983,215350771423.861
India,IND,1984,209328156804.186
India,IND,1985,229410293755.209
India,IND,1986,245664654064.834
India,IND,1987,275311425330.609
India,IND,1988,292632656261.441
India,IND,1989,292093308316.929
India,IND,1990,316697337894.532
India,IND,1991,266502281092.721
India,IND,1992,284363884079.92
India,IND,1993,275570363432.31
India,IND,1994,322909902308.131
India,IND,1995,355475984176.175
India,IND,1996,387656017799.599
India,IND,1997,410320300471.227
India,IND,1998,415730874172.06
India,IND,1999,452699998386.955
India,IND,2000,462146799336.77
India,IND,2001,478965491061.694
India,IND,2002,508068952065.959
India,IND,2003,599592902016.212
India,IND,2004,699688852930.441
