Country Name,Country Code,Year,Value
Morocco,MAR,1988,25705296183.5037
Morocco,MAR,1989,26314220188.0257
Morocco,MAR,1990,30180108561.9305
Morocco,MAR,1991,32285388165.2999
Morocco,MAR,1992,33711069430.78
Morocco,MAR,1993,31655473663.8348
Morocco,MAR,1994,35604137422.5796
Morocco,MAR,1995,39030285468.3841
Morocco,MAR,1996,43161452678.4383
Morocco,MAR,1997,39147844526.0838
Morocco,MAR,1998,41806219378.6181
Morocco,MAR,1999,41632027599.8531
Morocco,MAR,2000,38857251336.3448
Morocco,MAR,2001,39459581217.3759
Morocco,MAR,2002,42236836820.6152
Morocco,MAR,2003,52064058833.9739
Morocco,MAR,2004,59626020162.3816
Morocco,MAR,2005,62343022650.8742
Morocco,MAR,2006,68640825480.9223
Morocco,MAR,2007,79041294874.4553
Morocco,MAR,2008,92507257783.5697
Morocco,MAR,2009,92897320375.8176
Morocco,MAR,2010,93216746661.5977
Morocco,MAR,2011,101370474295.109
Morocco,MAR,2012,98266306615.3632
Morocco,MAR,2013,106825649872.108
Morocco,MAR,2014,110081248587.369
Morocco,MAR,2015,101187079462.942
Morocco,MAR,2016,103606321692.582
Mozambique,MOZ,1980,3526287037.03704
Mozambique,MOZ,1981,3537099150.14164
Mozambique,MOZ,1982,3612171957.67196
Mozambique,MOZ,1983,3236430348.25871
Mozambique,MOZ,1984,3376172169.81132
Mozambique,MOZ,1985,4456240740.74074
Mozambique,MOZ,1986,5247193069.30693
Mozambique,MOZ,1987,2354117303.06158
Mozambique,MOZ,1988,2093571673.65612
Mozambique,MOZ,1989,2314159887.23319
Mozambique,MOZ,1990,2512079324.07706
Mozambique,MOZ,1991,3263761937.95748
Mozambique,MOZ,1992,2291175764.66004
Mozambique,MOZ,1993,2394823061.93212
Mozambique,MOZ,1994,2460670287.73707
Mozambique,MOZ,1995,2521738759.58885
Mozambique,MOZ,1996,3523842274.89662
Mozambique,MOZ,1997,4227273069.05991
Mozambique,MOZ,1998,4873242526.06404
Mozambique,MOZ,1999,5302532113.25156
Mozambique,MOZ,2000,5016469068.50898
Mozambique,MOZ,2001,4766928746.6914
Mozambique,MOZ,2002,5031510908.86055
Mozambique,MOZ,2003,5597367853.40358
Mozambique,MOZ,2004,6831808930.39816
Mozambique,MOZ,2005,7723846194.87446
Mozambique,MOZ,2006,8312078525.08582
Mozambique,MOZ,2007,9366742309.49331
Mozambique,MOZ,2008,11494837053.4061
Mozambique,MOZ,2009,10911698208.1015
Mozambique,MOZ,2010,10154238250.1818
Mozambique,MOZ,2011,13131168011.807
Mozambique,MOZ,2012,14534278446.3087
Mozambique,MOZ,2013,16018848990.669
Mozambique,MOZ,2014,16961127045.8266
Mozambique,MOZ,2015,14798439527.2541
Mozambique,MOZ,2016,11014858591.8422
Myanmar,MMR,2000,8905066163.58643
Myanmar,MMR,2001,6477790688.22844
Myanmar,MMR,2002,6777632512.0781
Myanmar,MMR,2003,10467109977.6717
Myanmar,MMR,2004,10567354056.4049
Myanmar,MMR,2005,11986972418.5103
Myanmar,MMR,2006,14502553709.8303
Myanmar,MMR,2007,20182477480.5512
Myanmar,MMR,2008,31862554101.9378
Myanmar,MMR,2009,36906181380.8127
Myanmar,MMR,2010,49540813342.4834
Myanmar,MMR,2011,59977326085.9908
Myanmar,MMR,2012,59937797559.3295
Myanmar,MMR,2013,60269734044.526
Myanmar,MMR,2014,65446402659.1687
Myanmar,MMR,2015,59687373958.2574
Myanmar,MMR,2016,63225097051.255
Namibia,NAM,1980,2434884951.20699
Namibia,NAM,1981,2259179124.88605
Namibia,NAM,1982,2128089611.34647
Namibia,NAM,1983,2308102953.05628
Namibia,NAM,1984,1960567071.10418
Namibia,NAM,1985,1615776820.56804
Namibia,NAM,1986,1816754048.14004
Namibia,NAM,1987,2310454960.70727
Namibia,NAM,1988,2506554607.43347
Namibia,NAM,1989,2547340984.48164
Namibia,NAM,1990,2804379662.19611
Namibia,NAM,1991,3012742078.00674
Namibia,NAM,1992,3448326858.34502
Namibia,NAM,1993,3218475900.48046
Namibia,NAM,1994,3636645995.26867
Namibia,NAM,1995,3942478205.7291
Namibia,NAM,1996,3945340776.40546
Namibia,NAM,1997,4102648719.61806
Namibia,NAM,1998,3826527630.55551
Namibia,NAM,1999,3818954447.99083
Namibia,NAM,2000,3908661517.62299
Namibia,NAM,2001,3546783708.12619
Namibia,NAM,2002,3361251197.73829
Namibia,NAM,2003,4931312147.21007
Namibia,NAM,2004,6606858786.01174
Namibia,NAM,2005,7261333794.60003
Namibia,NAM,2006,7978734401.53585
Namibia,NAM,2007,8740865600.24981
Namibia,NAM,2008,8486721916.9128
Namibia,NAM,2009,8876191120.76189
Namibia,NAM,2010,11282192605.0374
Namibia,NAM,2011,12409629835.6998
Namibia,NAM,2012,13016272898.9038
Namibia,NAM,2013,12717790500.6163
Namibia,NAM,2014,12786078003.6304
Namibia,NAM,2015,11571141027.0478
Namibia,NAM,2016,10947880690.471
Nauru,NRU,2007,20432742.1126982
Nauru,NRU,2008,39333572.3247894
Nauru,NRU,2009,44290951.9252006
Nauru,NRU,2010,49248810.5726872
Nauru,NRU,2011,72751801.046087
Nauru,NRU,2012,103811958.762887
Nauru,NRU,2013,108601538.461538
Nauru,NRU,2014,117020381.931693
Nauru,NRU,2015,100459782.608696
Nauru,NRU,2016,102060129.577055
Nepal,NPL,1960,508334413.965087
Nepal,NPL,1961,531959561.62226
Nepal,NPL,1962,574091101.194382
Nepal,NPL,1963,496947904.443033
Nepal,NPL,1964,496098775.308642
Nepal,NPL,1965,735267082.294264
