Country Name,Country Code,Year,Value
St. Lucia,LCA,2005,951207370.37037
St. Lucia,LCA,2006,1134193629.62963
St. Lucia,LCA,2007,1277494148.14815
St. Lucia,LCA,2008,1282215407.40741
St. Lucia,LCA,2009,1262973407.40741
St. Lucia,LCA,2010,1381968259.25926
St. Lucia,LCA,2011,1437684814.81481
St. Lucia,LCA,2012,1436803333.33333
St. Lucia,LCA,2013,1489928888.88889
St. Lucia,LCA,2014,1551921037.03704
St. Lucia,LCA,2015,1649142629.62963
St. Lucia,LCA,2016,1667078703.7037
St. Vincent and the Grenadines,VCT,1960,13066557.7786852
St. Vincent and the Grenadines,VCT,1961,13999883.3343055
St. Vincent and the Grenadines,VCT,1962,14524878.959342
St. Vincent and the Grenadines,VCT,1963,13708219.0981742
St. Vincent and the Grenadines,VCT,1964,14758210.3482471
St. Vincent and the Grenadines,VCT,1965,15108207.4316047
St. Vincent and the Grenadines,VCT,1966,16099865.8344514
St. Vincent and the Grenadines,VCT,1967,15835177.9329133
St. Vincent and the Grenadines,VCT,1968,15350000
St. Vincent and the Grenadines,VCT,1969,16650000
St. Vincent and the Grenadines,VCT,1970,18450000
St. Vincent and the Grenadines,VCT,1971,20051648.1847182
St. Vincent and the Grenadines,VCT,1972,27585488.9918284
St. Vincent and the Grenadines,VCT,1973,30165373.6218865
St. Vincent and the Grenadines,VCT,1974,32924215.8581726
St. Vincent and the Grenadines,VCT,1975,33237164.715642
St. Vincent and the Grenadines,VCT,1976,32792480.9729606
St. Vincent and the Grenadines,VCT,1977,49353148.1481481
St. Vincent and the Grenadines,VCT,1978,60844777.7777778
St. Vincent and the Grenadines,VCT,1979,71096370.3703704
St. Vincent and the Grenadines,VCT,1980,82340333.3333333
St. Vincent and the Grenadines,VCT,1981,102086555.555556
St. Vincent and the Grenadines,VCT,1982,113759185.185185
St. Vincent and the Grenadines,VCT,1983,122255333.333333
St. Vincent and the Grenadines,VCT,1984,135025000
St. Vincent and the Grenadines,VCT,1985,145641703.703704
St. Vincent and the Grenadines,VCT,1986,160846666.666667
St. Vincent and the Grenadines,VCT,1987,175580629.62963
St. Vincent and the Grenadines,VCT,1988,200726703.703704
St. Vincent and the Grenadines,VCT,1989,214745000
St. Vincent and the Grenadines,VCT,1990,240365259.259259
St. Vincent and the Grenadines,VCT,1991,254829629.62963
St. Vincent and the Grenadines,VCT,1992,277954111.111111
St. Vincent and the Grenadines,VCT,1993,286307814.814815
St. Vincent and the Grenadines,VCT,1994,289438481.481481
St. Vincent and the Grenadines,VCT,1995,316008481.481481
St. Vincent and the Grenadines,VCT,1996,331489703.703704
St. Vincent and the Grenadines,VCT,1997,347770000
St. Vincent and the Grenadines,VCT,1998,373619851.851852
St. Vincent and the Grenadines,VCT,1999,390719148.148148
St. Vincent and the Grenadines,VCT,2000,396270000
St. Vincent and the Grenadines,VCT,2001,430040370.37037
St. Vincent and the Grenadines,VCT,2002,461883444.444444
St. Vincent and the Grenadines,VCT,2003,481806296.296296
St. Vincent and the Grenadines,VCT,2004,521975111.111111
St. Vincent and the Grenadines,VCT,2005,550728666.666667
St. Vincent and the Grenadines,VCT,2006,610930037.037037
St. Vincent and the Grenadines,VCT,2007,651833333.333333
St. Vincent and the Grenadines,VCT,2008,695428851.851852
St. Vincent and the Grenadines,VCT,2009,674922481.481482
St. Vincent and the Grenadines,VCT,2010,681225962.962963
St. Vincent and the Grenadines,VCT,2011,676129407.407407
St. Vincent and the Grenadines,VCT,2012,692933740.740741
St. Vincent and the Grenadines,VCT,2013,721207148.148148
St. Vincent and the Grenadines,VCT,2014,727230734.814815
St. Vincent and the Grenadines,VCT,2015,755205755.925926
St. Vincent and the Grenadines,VCT,2016,768224226.666667
Sudan,SDN,1960,1307333333.33333
Sudan,SDN,1961,1419333333.33333
Sudan,SDN,1962,1541666666.66667
Sudan,SDN,1963,1568333333.33333
Sudan,SDN,1964,1611333333.33333
Sudan,SDN,1965,1679333333.33333
Sudan,SDN,1966,1723000000
Sudan,SDN,1967,1865666666.66667
Sudan,SDN,1968,1947333333.33333
Sudan,SDN,1969,2144333333.33333
Sudan,SDN,1970,2437666666.66667
Sudan,SDN,1971,2656000000
Sudan,SDN,1972,2882000000
Sudan,SDN,1973,3571666666.66667
Sudan,SDN,1974,4595000000
Sudan,SDN,1975,5598000000
Sudan,SDN,1976,6979333333.33333
Sudan,SDN,1977,8704000000
Sudan,SDN,1978,7670500000
Sudan,SDN,1979,9032250000
Sudan,SDN,1980,7459833333.33333
Sudan,SDN,1981,10016500000
Sudan,SDN,1982,9240000000
Sudan,SDN,1983,8230153846.15385
Sudan,SDN,1984,9701357142.85714
Sudan,SDN,1985,12403733333.3333
Sudan,SDN,1986,15769062500
Sudan,SDN,1987,20155555555.5556
Sudan,SDN,1988,15399166666.6667
Sudan,SDN,1989,15291507936.5079
Sudan,SDN,1990,12408647540.9836
Sudan,SDN,1991,11379222222.2222
Sudan,SDN,1992,7034219712.52567
Sudan,SDN,1993,8881785938.48085
Sudan,SDN,1994,12794192334.2541
Sudan,SDN,1995,13829744878.6366
Sudan,SDN,1996,9018243044.45155
Sudan,SDN,1997,11681494637.3041
Sudan,SDN,1998,11250327988.0478
Sudan,SDN,1999,10682045258.3647
Sudan,SDN,2000,12257418326.0734
Sudan,SDN,2001,13182979783.533
Sudan,SDN,2002,14803189092.7044
Sudan,SDN,2003,17646503525.1743
Sudan,SDN,2004,21457470202.7839
Sudan,SDN,2005,26524538565.7403
Sudan,SDN,2006,35822408611.5588
Sudan,SDN,2007,45898948564.0593
Sudan,SDN,2008,54526580231.5568
Sudan,SDN,2009,53150209167.934
Sudan,SDN,2010,65634109236.7736
Sudan,SDN,2011,67327289319.733
Sudan,SDN,2012,68125631150.2939
Sudan,SDN,2013,72065940085.772
Sudan,SDN,2014,82151588418.8325
Sudan,SDN,2015,97156119150
Sudan,SDN,2016,95584380032.2061
Suriname,SUR,1960,93850000
Suriname,SUR,1961,98400000
Suriname,SUR,1962,103500000
Suriname,SUR,1963,110000000
Suriname,SUR,1964,120850000
Suriname,SUR,1965,138650000
Suriname,SUR,1966,171100000
Suriname,SUR,1967,198450000
Suriname,SUR,1968,220600000
Suriname,SUR,1969,233450000
Suriname,SUR,1970,247150000
Suriname,SUR,1971,270650000
Suriname,SUR,1972,287600000
Suriname,SUR,1973,305300000
Suriname,SUR,1974,368600000
Suriname,SUR,1975,465000000
Suriname,SUR,1976,505500000
Suriname,SUR,1977,641000000
Suriname,SUR,1978,735500000
Suriname,SUR,1979,783000000
Suriname,SUR,1980,794900000
Suriname,SUR,1981,889050000
Suriname,SUR,1982,915150000
Suriname,SUR,1983,883600000
Suriname,SUR,1984,864150000
Suriname,SUR,1985,873250000
Suriname,SUR,1986,891000000
Suriname,SUR,1987,979850000
Suriname,SUR,1988,1160900000
Suriname,SUR,1989,542520000
Suriname,SUR,1990,388300000
Suriname,SUR,1991,448300000
Suriname,SUR,1992,404600000
Suriname,SUR,1993,428794117.647059
Suriname,SUR,1994,605492537.313433
Suriname,SUR,1995,693970588.235294
Suriname,SUR,1996,860630922.693267
Suriname,SUR,1997,929607500
Suriname,SUR,1998,945000000
Suriname,SUR,1999,885444186.046512
Suriname,SUR,2000,892164393.939394
Suriname,SUR,2001,763465550.458716
Suriname,SUR,2002,1078402127.65957
Suriname,SUR,2003,1271196078.43137
Suriname,SUR,2004,1484092538.40527
Suriname,SUR,2005,1793754804.70037
Suriname,SUR,2006,2626380435.17877
Suriname,SUR,2007,2936612021.85792
Suriname,SUR,2008,3532969034.60838
Suriname,SUR,2009,3875409836.06557
Suriname,SUR,2010,4368398047.64333
Suriname,SUR,2011,4422276621.78703
Suriname,SUR,2012,4980000000
Suriname,SUR,2013,5145757575.75758
Suriname,SUR,2014,5240606060.60606
Suriname,SUR,2015,4826587057.68724
Suriname,SUR,2016,3278425328.32418
Swaziland,SWZ,1960,35076158.4768305
Swaziland,SWZ,1961,43025199.4960101
Swaziland,SWZ,1962,45927061.4587708
Swaziland,SWZ,1963,54128377.4324513
Swaziland,SWZ,1964,64979280.4143917
Swaziland,SWZ,1965,70278594.4281114
Swaziland,SWZ,1966,76858462.8307434
Swaziland,SWZ,1967,74758504.8299034
Swaziland,SWZ,1968,79798404.0319194
Swaziland,SWZ,1969,105417891.642167
Swaziland,SWZ,1970,112137757.244855
Swaziland,SWZ,1971,136465324.384787
Swaziland,SWZ,1972,146741251.46351
Swaziland,SWZ,1973,221902017.291066
Swaziland,SWZ,1974,264311994.113319
Swaziland,SWZ,1975,288302907.369844
Swaziland,SWZ,1976,272539098.436063
Swaziland,SWZ,1977,304047838.086477
Swaziland,SWZ,1978,340616375.344986
Swaziland,SWZ,1979,412093133.760988
Swaziland,SWZ,1980,542000513.610683
Swaziland,SWZ,1981,571542674.577818
Swaziland,SWZ,1982,537575980.843618
Swaziland,SWZ,1983,555336145.767884
Swaziland,SWZ,1984,494475699.857656
Swaziland,SWZ,1985,361014890.45841
Swaziland,SWZ,1986,449146608.315098
Swaziland,SWZ,1987,584135559.921414
Swaziland,SWZ,1988,692016714.317132
Swaziland,SWZ,1989,696915430.663057
Swaziland,SWZ,1990,1114703088.1614
Swaziland,SWZ,1991,1156141998.33412
Swaziland,SWZ,1992,1284766234.2216
Swaziland,SWZ,1993,1357206995.74624
Swaziland,SWZ,1994,1419293454.99606
Swaziland,SWZ,1995,1698982437.76019
Swaziland,SWZ,1996,1602760100.48147
Swaziland,SWZ,1997,1716699913.19444
Swaziland,SWZ,1998,1576904292.4588
Swaziland,SWZ,1999,1547884442.26205
Swaziland,SWZ,2000,1738100853.05052
Swaziland,SWZ,2001,1542477308.89408
Swaziland,SWZ,2002,1432228125.26682
Swaziland,SWZ,2003,2197612701.09852
Swaziland,SWZ,2004,2770082791.50412
Swaziland,SWZ,2005,3178126491.90949
Swaziland,SWZ,2006,3291353835.93
Swaziland,SWZ,2007,3469363996.36642
Swaziland,SWZ,2008,3294093485.20796
Swaziland,SWZ,2009,3580417066.92472
Swaziland,SWZ,2010,4438778424.30203
Swaziland,SWZ,2011,4820499924.2539
Swaziland,SWZ,2012,4823831656.51644
Swaziland,SWZ,2013,4560713073.91948
Swaziland,SWZ,2014,4377293816.28535
Swaziland,SWZ,2015,4020275298.02726
